field,statement,is_base_figure,unit
ticker,metadata,False,desc
dimension,metadata,False,desc
calendardate,metadata,False,date
datekey,metadata,False,date
reportperiod,metadata,False,date
lastupdated,metadata,False,date
accoci,balance_sheet,False,currency
assets,balance_sheet,True,currency
assetsavg,metrics,False,currency
assetsc,balance_sheet,False,currency
assetsnc,balance_sheet,False,currency
assetturnover,metrics,False,ratio
bvps,metrics,False,currency/share
capex,cashflows,False,currency
cashneq,balance_sheet,False,currency
cashnequsd,balance_sheet,False,currency
cor,income_statement,False,currency
consolinc,income_statement,False,currency
currentratio,metrics,False,ratio
de,metrics,False,ratio
debt,balance_sheet,False,currency
debtc,balance_sheet,False,currency
debtnc,balance_sheet,False,currency
debtusd,balance_sheet,False,currency
deferredrev,balance_sheet,False,currency
depamor,cashflows,False,currency
deposits,balance_sheet,False,currency
divyield,metrics,False,ratio
dps,income_statement,False,currency/share
ebit,income_statement,False,currency
ebitda,metrics,False,currency
ebitdamargin,metrics,False,ratio
ebitdausd,metrics,False,currency
ebitusd,income_statement,False,currency
ebt,metrics,False,currency
eps,income_statement,False,currency/share
epsdil,income_statement,False,currency/share
epsusd,income_statement,False,currency/share
equity,balance_sheet,False,currency
equityavg,metrics,False,currency
equityusd,balance_sheet,False,currency
ev,metrics,False,currency
evebit,metrics,False,ratio
evebitda,metrics,False,ratio
fcf,metrics,True,currency
fcfps,metrics,False,currency/share
fxusd,metadata,False,ratio
gp,income_statement,False,currency
grossmargin,metrics,False,ratio
intangibles,balance_sheet,False,currency
intexp,income_statement,False,currency
invcap,metrics,False,currency
invcapavg,metrics,False,currency
inventory,balance_sheet,False,currency
investments,balance_sheet,False,currency
investmentsc,balance_sheet,False,currency
investmentsnc,balance_sheet,False,currency
liabilities,balance_sheet,False,currency
liabilitiesc,balance_sheet,False,currency
liabilitiesnc,balance_sheet,False,currency
marketcap,metrics,False,currency
ncf,cashflows,True,currency
ncfbus,cashflows,False,currency
ncfcommon,cashflows,False,currency
ncfdebt,cashflows,False,currency
ncfdiv,cashflows,False,currency
ncff,cashflows,False,currency
ncfi,cashflows,False,currency
ncfinv,cashflows,False,currency
ncfo,cashflows,False,currency
ncfx,cashflows,False,currency
netinc,income_statement,False,currency
netinccmn,income_statement,False,currency
netinccmnusd,income_statement,False,currency
netincdis,income_statement,False,currency
netincnci,income_statement,False,currency
netmargin,metrics,False,ratio
opex,income_statement,False,currency
opinc,income_statement,False,currency
payables,balance_sheet,False,currency
payoutratio,metrics,False,ratio
pb,metrics,False,ratio
pe,metrics,False,ratio
pe1,metrics,False,ratio
ppnenet,balance_sheet,False,currency
prefdivis,income_statement,False,currency
price,metadata,False,desc
ps,metrics,False,ratio
ps1,metrics,False,ratio
receivables,balance_sheet,False,currency
retearn,balance_sheet,False,currency
revenue,income_statement,True,currency
revenueusd,income_statement,False,currency
rnd,income_statement,False,currency
roa,metrics,False,ratio
roe,metrics,False,ratio
roic,metrics,False,ratio
ros,metrics,False,ratio
sbcomp,cashflows,False,currency
sgna,income_statement,False,currency
sharefactor,metadata,False,ratio
sharesbas,metadata,False,count
shareswa,metadata,False,count
shareswadil,metadata,False,count
sps,metrics,False,currency/share
tangibles,metrics,False,currency
taxassets,balance_sheet,False,currency
taxexp,income_statement,False,currency
taxliabilities,balance_sheet,False,currency
tbvps,metrics,False,currency/share
workingcapital,metrics,False,currency
